"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"her"	"on"	"clothes"	"while"	"PRP$"	"IN"	"PRP"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"take"	","	","	"DT"	","	"CC"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"up"	"scramble"	"man"	"they"	"RP"	"PRP"	"RB"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"of"	"turn"	"take"	"about"	"IN"	"IN"	"PRP$"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"of"	"turn"	"a"	"about"	"IN"	"IN"	"PRP"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"loosen"	"to"	"that"	"DT"	"WDT"	"VBD"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"clothes"	"be"	"DT"	"VBD"	"VBG"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"with"	"X"	"out"	"PRP$"	"RP"	"CC"	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"girl"	"the"	"and"	"DT"	"CC"	"VBD"	"line"	"xcomp"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"throw"	"carlo"	"into"	"PRP$"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"give"	"carlo"	"a"	"PRP$"	"DT"	"NN"	"line"	"dep"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"at"	"tug"	"make"	"PRP$"	"VBD"	"PRP"	"line"	"prep_at"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"of"	"end"	"."	"PRP$"	"."	"X"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"in"	"draw"	"."	"PRP$"	"."	"X"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"a"	"on"	"up"	"float"	"DT"	"VBG"	"IN"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"unty"	"sidney"	"and"	"DT"	"CC"	"VBD"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"to"	"clung"	"until"	"DT"	"IN"	"DT"	"line"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"ascend"	"his"	"carry"	"to"	"VBG"	"TO"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"one"	"while"	"X"	"be"	"CD"	"VBD"	"VBN"	"line"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"along"	"somewhere"	"the"	"DT"	"DT"	"NNS"	"line"	"prep_along"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	","	"down"	"get"	"PRP$"	"VBD"	"VBN"	"lines"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"in"	"go"	"DT"	"VBD"	"IN"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"weight"	"cherry"	"with"	"PRP$"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"my"	"throw"	"i"	"out"	"PRP$"	"RP"	"CC"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"against"	"jerk"	"that"	"DT"	"WDT"	"VBD"	"lines"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"our"	"away"	"carry"	"before"	"PRP$"	"IN"	"PRP"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"of"	"end"	"attach"	"DT"	"VBN"	"TO"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"tangled"	"a"	"uncoil"	","	"JJ"	","	"VBG"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"a"	"on"	"blow"	"behind"	"DT"	"IN"	"DT"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"a"	"on"	"clothes"	"behind"	"DT"	"IN"	"DT"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"your"	"put"	"X"	"in"	"PRP$"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"in"	"reel"	"."	"PRP$"	"."	"X"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"cut"	"X"	"!"	"DT"	"."	"``"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"secure"	"and"	"."	"IN"	"."	"X"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"harp-like"	"of"	"series"	"be"	"JJ"	"VBD"	"VBN"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"same"	"the"	"on"	"together"	"JJ"	"RB"	"."	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"with"	"X"	"tie"	"DT"	"VBN"	"TO"	"line"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"X"	"X"	"snap"	"DT"	"VBD"	","	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"uncoil"	"and"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"of"	"foot"	"few"	"be"	"IN"	"VBD"	"VBN"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"stern"	"the"	"cut"	"."	"JJ"	"."	"."	"lines"	"prep_stern"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"untangle"	"to"	","	"DT"	","	"CC"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"X"	"X"	"X"	"be"	"X"	"VBD"	"VBN"	"lines"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"over"	"toss"	"and"	"DT"	"CC"	"VBD"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"wear"	"be"	"thin"	"DT"	"JJ"	"WRB"	"line"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"run"	"man"	","	"IN"	","	"VBG"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"_s"	"chet"	"on"	","	"POS"	","	"NN"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"dangle"	"on"	"stolidly"	"PRP$"	"RB"	"IN"	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"onto"	"fish"	"with"	"PRP$"	"IN"	"JJ"	"line"	"prep_onto"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"onto"	"fish"	"with"	"PRP$"	"IN"	"JJ"	"line"	"prep_onto"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"shine"	"the"	"X"	"come"	"VBG"	"VBD"	"RP"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"of"	"end"	"."	"PRP$"	"."	"X"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"boat"	"."	"IN"	"."	"X"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	"."	"IN"	"."	"X"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"haul"	"to"	"DT"	"TO"	"VB"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"him"	"toss"	","	"DT"	","	"WDT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	"."	"IN"	"."	"X"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"boat"	"."	"IN"	"."	"X"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"land"	"to"	"in"	"IN"	"IN"	"DT"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"use"	"to"	"necessary"	"in"	"VB"	"IN"	"VBG"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"by"	"down"	"let"	"."	"IN"	"."	"X"	"lines"	"agent"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"to"	"hold"	"of"	"DT"	"IN"	"DT"	"line"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"to"	"hold"	"of"	"DT"	"IN"	"DT"	"line"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	"past"	"IN"	"IN"	"NNS"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"its"	"of"	"end"	"beyond"	"PRP$"	"IN"	"DT"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	","	"IN"	","	"IN"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	","	"IN"	","	"IN"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"take"	"man"	"of"	"DT"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"down"	"let"	"past"	"IN"	"IN"	"DT"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"me"	"pass"	","	"DT"	","	"CC"	"line"	"xcomp"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"take"	"to"	"to"	"DT"	"TO"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"with"	"on"	","	"DT"	","	"IN"	"line"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"cut"	"to"	"."	"DT"	"."	"X"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"to"	"attach"	"."	"DT"	"."	"X"	"line"	"prep_to"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"eternally"	";"	"DT"	":"	"EX"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"and"	"hook"	"a"	"or"	"CC"	"CC"	"NN"	"line"	"conj_and"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"trail"	","	"boat"	"in"	"VBG"	"IN"	"DT"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"picklock"	"hand"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"of"	"end"	"."	"PRP$"	"."	"``"	"line"	"prep_of"
"cord"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"with"	"and"	"JJ"	"CC"	"VBD"	"line"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"his"	"on"	"tug"	"."	"PRP$"	"."	"X"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"in"	"pull"	"and"	"PRP$"	"CC"	"VB"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"tie"	"and"	"to"	"DT"	"TO"	"PRP$"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"secure"	"me"	"to"	"DT"	"TO"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"fish"	"of"	"kind"	"and"	"NN"	"CC"	"NN"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"old"	"the"	"be"	"from"	"JJ"	"IN"	"PRP$"	"lines"	"dep"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"harpoon"	"rawhide"	"a"	"and"	"NN"	"CC"	"VBD"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"stretch"	"tightly"	"the"	"serve"	"VBN"	"VBD"	"IN"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"rawhide"	"with"	","	"attach"	"NN"	"VBN"	","	"line"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"give"	"hunter"	"an"	"DT"	"DT"	"JJ"	"line"	"iobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"cast"	"hopefully"	"on"	"DT"	"IN"	"TO"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"hang"	"in"	"DT"	"IN"	"DT"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"its"	"on"	"taut"	","	"PRP$"	","	"VBN"	"lines"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"with"	"struggle"	","	","	"IN"	","	"VBN"	"lines"	"prep_with"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"make"	"to"	"fast"	"DT"	"RB"	"TO"	"lines"	"dobj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"anchor"	"stout"	"have"	"and"	"NN"	"CC"	"NN"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	","	"once"	"and"	"DT"	"CC"	"NN"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"-"	"long"	"the"	"or"	":"	"CC"	"JJ"	"line"	"dep"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"-"	"flag"	"X"	"fisherman"	":"	"NNS"	"VBP"	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"bait"	"and"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"carry"	"on"	"JJ"	"IN"	"WDT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"length"	"protect"	"DT"	"VBZ"	"DT"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"from"	"dangle"	"of"	"DT"	"IN"	"DT"	"lines"	"prep_from"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"X"	"X"	"X"	"have"	"X"	"VBD"	"VBN"	"lines"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"light"	"a"	"only"	"to"	"JJ"	"TO"	"VB"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"light"	"a"	"only"	"to"	"JJ"	"TO"	"VB"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"X"	"X"	"speed"	"DT"	"VBZ"	"IN"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"X"	"X"	"part"	"DT"	"NNS"	","	"line"	"nn"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"see"	"they"	"go"	"DT"	"VB"	"NN"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"and"	"tackle"	"loop"	"DT"	"VBD"	"VB"	"line"	"nsubj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"trail"	"the"	"by"	"of"	"VBG"	"IN"	"NNS"	"lines"	"prep_by"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"carry"	","	"afterdeck"	"and"	"VBG"	"CC"	"NN"	"lines"	"conj_and"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"nylon"	"a"	"X"	"stretch"	"NN"	"VBZ"	"JJ"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"will"	"X"	"foul"	"DT"	"JJ"	"PRP$"	"line"	"nsubj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"nylon"	"the"	"keep"	"taut"	"NN"	"NN"	"."	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"follow"	"trip-wire"	"from"	"DT"	"IN"	"NN"	"line"	"prep_following"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"big"	"how"	"we"	"DT"	"PRP"	"VBP"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"cod"	"of"	"length"	"with"	"NN"	"IN"	"JJ"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"in"	"pull"	"."	"DT"	"."	"X"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"parachute"	"the"	"of"	"at"	"NN"	"IN"	"DT"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"of"	"foot"	"."	"DT"	"."	"X"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"heave"	"to"	"."	"DT"	"."	"X"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"snub"	"i"	"around"	"DT"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"a"	"on"	"fish"	"."	"DT"	"."	"X"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"toss"	"usually"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"these"	"X"	"X"	","	"DT"	","	"RB"	"lines"	"xsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"our"	"of"	"end"	"as"	"PRP$"	"IN"	"IN"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"in"	"reel"	"slowly"	"DT"	"RB"	"."	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"count"	"i"	"twice"	"DT"	"RB"	"IN"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"_s"	"percussie"	"take"	"."	"POS"	"."	"X"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"fourth"	"the"	"and"	"come"	"JJ"	"VBD"	"VBG"	"line"	"nsubj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"his"	"on"	"not"	"."	"PRP$"	"."	"``"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"off"	"chimp"	"?"	"DT"	"."	"``"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"run"	"be"	"through"	"DT"	"IN"	"PRP$"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"hand"	"."	"DT"	"."	"X"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"our"	"of"	"limit"	"."	"PRP$"	"."	"X"	"lines"	"prep_of"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"safety"	"a"	"of"	"attach"	"NN"	"VBN"	"TO"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"of"	"slack"	"."	"PRP$"	"."	"X"	"line"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"weighted"	"a"	"throw"	"into"	"JJ"	"IN"	"DT"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"lift"	","	"apparatus"	"be"	"VBG"	"VBD"	"RB"	"lines"	"nsubjpass"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"guide"	"by"	"dwelling"	"whenever"	"NN"	"WRB"	"PRP"	"lines"	"agent"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"attach"	"would"	"to"	"DT"	"TO"	"CD"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"remove"	"would"	"from"	"DT"	"IN"	"NN"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	1	"the"	"on"	"wash"	"and"	"DT"	"CC"	"DT"	"line"	"prep_on"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"from"	"down"	"."	"DT"	"."	"X"	"line"	"prep_from"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"shake"	"job"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"my"	"in"	"pull"	"and"	"PRP$"	"CC"	"VBD"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"my"	"in"	"pull"	"and"	"PRP$"	"CC"	"VBD"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"bam"	"hand"	"."	"DT"	"."	"X"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"plow"	"two"	"fetch"	"off"	"JJ"	"IN"	"DT"	"lines"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"_s"	"helene"	"up"	"for"	"POS"	"IN"	"PRP"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"in"	"reel"	"."	"PRP$"	"."	"X"	"line"	"prep_in"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"his"	"in"	"reel"	"."	"PRP$"	"."	"X"	"line"	"prep_in"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"anchor"	"_"	"boat"	"."	"NN"	"."	"X"	"lines"	"prep_of"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"from"	"judge"	"of"	"DT"	"IN"	"NN"	"lines"	"prep_from"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"a"	"bait"	"have"	"and"	"DT"	"CC"	"RB"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"have"	"negro"	"and"	"DT"	"CC"	"PRP"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"her"	"to"	"back"	"to"	"PRP$"	"TO"	"VB"	"lines"	"prep_to"
"cord"	0	0	1	0	0	0	0	0	0	0	0	"long"	"a"	"or"	"good"	"JJ"	"JJR"	"IN"	"line"	"conj_or"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"uncoil"	"and"	"."	"DT"	"."	"``"	"line"	"dobj"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"coiled"	"the"	"over"	"."	"JJ"	"."	"X"	"lines"	"prep_over"
"cord"	0	0	0	0	0	0	0	0	0	0	0	"the"	"on"	"pull"	"which"	"DT"	"WDT"	"VBD"	"line"	"nsubj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"safety"	"good"	"the"	"have"	"NN"	"VBD"	"VBN"	"lines"	"xsubj"
"cord"	1	0	0	0	0	0	0	0	0	0	0	"safety"	"his"	","	"unreel"	"NN"	"VBG"	"IN"	"line"	"appos"
